fpr,tpr
0.0,0.0
0.023255813953488372,0.0
0.023255813953488372,0.21739130434782608
0.046511627906976744,0.21739130434782608
0.046511627906976744,0.2608695652173913
0.13953488372093023,0.2608695652173913
0.13953488372093023,0.34782608695652173
0.16279069767441862,0.34782608695652173
0.16279069767441862,0.43478260869565216
0.2558139534883721,0.43478260869565216
0.2558139534883721,0.4782608695652174
0.32558139534883723,0.4782608695652174
0.32558139534883723,0.6304347826086957
0.37209302325581395,0.6304347826086957
0.37209302325581395,0.6739130434782609
0.4883720930232558,0.6739130434782609
0.4883720930232558,0.6956521739130435
0.5116279069767442,0.6956521739130435
0.5116279069767442,0.7391304347826086
0.5581395348837209,0.7391304347826086
0.5581395348837209,0.8043478260869565
0.5813953488372093,0.8043478260869565
0.5813953488372093,0.8260869565217391
0.627906976744186,0.8260869565217391
0.627906976744186,0.8695652173913043
0.6511627906976745,0.8695652173913043
0.6511627906976745,0.9130434782608695
0.6976744186046512,0.9130434782608695
0.6976744186046512,0.9347826086956522
0.8372093023255814,0.9347826086956522
0.8372093023255814,0.9782608695652174
0.8604651162790697,0.9782608695652174
0.8604651162790697,1.0
1.0,1.0
