feature,layer,diff_high_minus_low,p,q
STK4,proteomics,1.026486904761905,1.276443243515216e-12,5.6530963648408734e-11
AKT2,proteomics,2.1107878787878787,1.276443243515216e-12,5.6530963648408734e-11
CXCL3,proteomics,2.719594642857142,1.3572721856678329e-12,5.834274409863347e-11
EIF4G1,proteomics,1.4711067640692643,1.3572721856678329e-12,5.834274409863347e-11
DIABLO,proteomics,2.0794400432900435,1.4431172393246841e-12,5.941171395135284e-11
DAAM1,proteomics,1.0409793831168832,1.4431172393246841e-12,5.941171395135284e-11
NT5C3A,proteomics,1.6007716450216445,1.4431172393246841e-12,5.941171395135284e-11
DRG2,proteomics,0.5874751082251083,1.534283118311427e-12,6.143437746334659e-11
DTD1,proteomics,2.3053637445887443,1.534283118311427e-12,6.143437746334659e-11
ANXA3,proteomics,1.1743310064935066,1.6310926315880036e-12,6.442815894772615e-11
RWDD1,proteomics,1.0917067640692644,1.9589049373537733e-12,7.534051489322471e-11
MINK1,proteomics,1.95818170995671,1.9589049373537733e-12,7.534051489322471e-11
MAP4K5,proteomics,1.1610949675324678,2.2124969337552738e-12,8.291190432521366e-11
HARS1,proteomics,0.8398929112554112,2.2124969337552738e-12,8.291190432521366e-11
RBPMS2,proteomics,1.6418530844155843,2.6543361204400457e-12,9.698280600057818e-11
APPL2,proteomics,1.813428300865801,2.6543361204400457e-12,9.698280600057818e-11
PSTPIP2,proteomics,2.0525226731601727,2.82001967958429e-12,1.0176441386944295e-10
PDGFA,proteomics,1.466119588744589,3.182381960385935e-12,1.1207352373744681e-10
FKBP5,proteomics,1.5342980519480522,3.182381960385935e-12,1.1207352373744681e-10
ABL1,proteomics,0.5611981601731602,3.3803078137632414e-12,1.1762666356702327e-10
EHD3,proteomics,1.9053249999999995,3.5902892465096008e-12,1.220280868319484e-10
GMFG,proteomics,1.013937932900433,3.5902892465096008e-12,1.220280868319484e-10
SARG,proteomics,1.556641883116883,3.812246436562468e-12,1.2523066330500276e-10
PPBP,proteomics,2.2174614177489183,3.813044486536177e-12,1.2523066330500276e-10
HSPB1,proteomics,1.7069565476190476,3.813044486536177e-12,1.2523066330500276e-10
DOK1,proteomics,1.2680356060606062,4.049333554488003e-12,1.3151335533076034e-10
