method,artifact_flags,n_up,n_down,silhouette,METS_AUROC,stability_ARI,p_median_shift
none,3,8,727,0.1703678098839871,0.8246208291203234,0.6529152818691994,4.66285874475601e-08
median_center,1,537,311,0.1595084373827924,0.8273003033367038,0.6488089745242551,1.0
quantile,2,459,519,0.1519918757517049,0.8318166498146274,0.7615630133534909,1.0
rank_inverse_normal,2,511,452,0.1574424913299761,0.8213852376137515,0.8148500079611862,0.4445540392758659
