COCOMO_ID,endotype,YARS1,GCC1,MTDH,SKAP2,DBNL,SNAP23,PTPN6,DNAJB6,PLA2G4A,CRKL,PMVK,LAT,HCLS1,CASP3,IRAK4,SNAP29,RAB27B,CLIP2,FYB1,MPIG6B,PPP1R12A,EBAG9,DAPP1,DAB2,CDC26,MESD,BCL2L1,EGF,PLCB2,DNAJA2,GRAP2,IST1,ERP29,PPP1R9B,NEXN,SRC,MGLL,NCK2,PRKG1,CD69
1613,1,3.0242,-0.19590000000000002,-0.03720000000000001,-0.6367,0.05039999999999997,-0.7599,-0.3019,0.5265,-0.022800000000000015,0.4789,2.3508,0.8275,-0.5813,0.6718999999999999,0.1741,0.5009,0.1863,0.7854,-0.1236,-0.12730000000000002,0.7441,0.8607999999999999,1.5966,1.4795,0.6176999999999999,0.19399999999999998,1.2613,-2.8969,-0.5119,0.7526999999999999,1.4288,1.2555,0.163,-0.7815000000000001,0.8029000000000001,1.1281,0.2155,0.29789999999999994,0.7188,-1.1501
1721,1,1.3301,-0.22780000000000003,0.05429999999999996,-0.9261,-0.08480000000000004,-0.5715,-0.9560000000000001,0.6860999999999999,0.059599999999999986,0.5323,0.19419999999999993,0.058599999999999985,-0.6436,0.4061,0.1336,0.8567,-0.3115,0.1417,0.12969999999999998,0.21919999999999995,-0.05080000000000001,0.5243,0.37170000000000003,0.27869999999999995,0.27449999999999997,0.3571,0.33440000000000003,-2.9562,-0.489,1.0652,0.4759,1.0767,0.6662999999999999,-0.7051000000000001,0.45919999999999994,0.02779999999999999,-0.14990000000000003,-0.15500000000000003,-0.25,-0.33840000000000003
1866,0,5.2102,1.7545000000000002,2.1833,1.7174999999999998,1.557,0.5853999999999999,1.7195,2.2335,1.4912,1.8418,3.9013999999999998,2.2047,0.025399999999999978,2.1565,1.6315,2.7493,1.7271999999999998,2.4061,1.5246,2.4721,1.8944999999999999,1.5939,3.4252,2.6442,1.8818000000000001,1.6886999999999999,2.402,-1.3738000000000001,1.7402000000000002,2.3276,2.57,2.6559,2.1754,0.45289999999999997,2.1485,1.8917000000000002,1.8902999999999999,1.6803,3.2296,1.0834
1877,0,3.7962000000000002,0.41209999999999997,1.5276,-0.3473,1.0410000000000001,-0.31279999999999997,0.6457999999999999,1.0084,0.438,1.2194,2.3834,0.8665,-0.5957,1.57,1.1016000000000001,1.9735,0.4459,1.1235,0.6016999999999999,0.16459999999999997,1.4025,1.0417,1.6204,1.78,1.8929,1.3656000000000001,1.2258,-1.8538,-0.0949,0.8679000000000001,1.4894,2.0289,1.0973,-0.2822,1.2369,1.1075000000000002,0.8543000000000001,0.8923000000000001,1.1883000000000001,-0.0775
2005,1,2.168,-0.13129999999999997,0.6053000000000001,-1.0347,0.2323,-1.258,-0.34519999999999995,0.28340000000000004,-0.35019999999999996,0.3659,1.1704,0.36970000000000003,-1.1907,0.5124,-0.2849,0.7815,-0.45849999999999996,0.027900000000000008,-0.293,-0.7259,0.35609999999999997,0.4628,0.9639,0.9156,0.5474,0.669,1.1064,-3.0374,-0.7489,0.9048,0.3103,0.9991000000000001,0.7198,-0.6776,0.5954,-0.2047,-0.11579999999999999,0.1941,0.7496,-1.0036
2023,0,6.2024,1.7457999999999998,4.0357,1.5784,1.9418,0.6888999999999998,2.4566000000000003,2.3865000000000003,1.9452,2.2736,5.182300000000001,2.4796,0.5424,2.6567000000000003,1.957,3.0328,2.4712,3.2522,2.3960000000000004,1.7722,3.0438,1.6469,4.6998,3.7613000000000003,2.415,3.0336000000000003,2.8851,-0.9921,1.6584999999999999,2.5862000000000003,3.4890000000000003,3.5989,3.4896000000000003,1.289,2.8988,2.1564,2.2254,2.3453,3.9839,0.47459999999999997
2052,1,0.2949,-1.367,-1.5139999999999998,-2.1449,-0.6591,-2.6019,-1.7068999999999999,-0.0753,-0.3514,0.20490000000000003,-0.6898,-1.1080999999999999,-3.3449999999999998,-0.2365,-0.6475,0.1386,-1.0263,-0.8160000000000001,-1.5133999999999999,-1.0473,-0.9696,-0.2148,-1.9683,-0.5772,-0.3592,-0.4235,-0.3544,-2.8733,-1.9175,0.49629999999999996,-1.505,0.3033,-0.5992000000000001,-1.7363,-0.8053,-0.9188000000000001,-0.7088,-1.0597999999999999,-1.0081,-1.2263
1281,0,7.664,2.6457,3.8305,2.7383,2.8909000000000002,1.5194,2.8927,3.0,2.5454,2.8404,6.5364,4.206,1.3277,3.0871,2.6636,3.7550999999999997,3.1739,3.686,3.1645,3.0043,3.5884,3.223,5.6364,4.6976,2.8367,3.9966999999999997,4.0685,-0.4,3.1882,3.6203,4.5095,5.0206,4.0624,2.121,3.4377,3.9819000000000004,3.0204,2.9946,4.4864,1.6119
1006,0,3.6132,0.7407999999999999,0.8474999999999999,0.9634,0.6855,0.172,1.1233,1.1582,0.6976,1.3411,3.1033999999999997,1.7356,-0.4601,1.3406,0.7648999999999999,2.1449,0.9460999999999999,1.7878,1.4607999999999999,1.458,0.9337,0.9459,2.7984,2.0048000000000004,1.4681,1.2479,1.5756,-1.8274,0.18599999999999994,1.8002,2.0523999999999996,2.4844,1.5499,1.5908,1.3051,1.6291,0.8001,1.0866,0.42479999999999996,0.3808
1028,0,2.3015,0.08439999999999998,0.0499,-1.07,-0.07170000000000001,-1.5227,-0.2283,0.5547,0.010099999999999998,0.3862,0.7827000000000001,1.8718,-1.2435,0.3268,0.4579,0.7357,0.08510000000000001,1.0139,0.1264,0.5945,0.4285,0.2541,1.0787,0.8336,0.654,0.8579,0.9723,-0.593,-1.0408,1.0476999999999999,0.10409999999999997,0.9766,0.6876,-0.0557,0.5408999999999999,0.37339999999999995,-0.20400000000000001,0.1315,0.24059999999999998,-1.097
